short_name,age,overall,value_eur,wage_eur,pace,shooting,passing,defending
I. YÃ¼ksek,23.0,67.0,2300000.0,16000.0,67.0,57.0,67.0,66.0
S. Adingra,20.0,67.0,2200000.0,14000.0,90.0,61.0,53.0,25.0
N. Kvekveskiri,30.0,67.0,850000.0,4000.0,58.0,59.0,68.0,62.0
L. Engel,23.0,67.0,1500000.0,3000.0,80.0,56.0,61.0,59.0
B. RacoviÈ›an,22.0,67.0,2100000.0,4000.0,75.0,32.0,38.0,67.0
J. Malatini,21.0,67.0,2000000.0,4000.0,71.0,31.0,58.0,61.0
E. Castillo,28.0,67.0,975000.0,500.0,54.0,53.0,61.0,64.0
S. Akinyoola,22.0,67.0,2300000.0,500.0,65.0,71.0,46.0,23.0
M. Aydin,20.0,67.0,2300000.0,6000.0,75.0,57.0,63.0,60.0
S. Lynen,23.0,67.0,1400000.0,5000.0,55.0,61.0,64.0,63.0
M. Fixelles,25.0,67.0,1400000.0,4000.0,67.0,64.0,67.0,63.0
N. Garayalde,22.0,67.0,2300000.0,5000.0,66.0,55.0,68.0,55.0
Y. Nadrani,25.0,67.0,1300000.0,5000.0,81.0,32.0,52.0,68.0
N. PÄƒun,23.0,67.0,2100000.0,4000.0,63.0,46.0,60.0,64.0
B. van Rooij,21.0,67.0,1500000.0,3000.0,78.0,36.0,56.0,61.0
D. Proper,20.0,67.0,2100000.0,3000.0,75.0,49.0,60.0,64.0
S. Quemper,29.0,67.0,900000.0,3000.0,78.0,35.0,61.0,61.0
G. SangarÃ©,25.0,67.0,1400000.0,2000.0,59.0,39.0,53.0,66.0
CÃ³rdoba,27.0,67.0,1200000.0,3000.0,60.0,36.0,48.0,67.0
M. Aidara,25.0,67.0,1400000.0,2000.0,46.0,31.0,36.0,68.0
R. Negru,23.0,67.0,1900000.0,4000.0,80.0,39.0,57.0,59.0
A. Compagno,26.0,67.0,1300000.0,7000.0,48.0,67.0,46.0,37.0
C. Odenthal,21.0,67.0,2100000.0,950.0,61.0,32.0,54.0,68.0
Olasagasti,21.0,67.0,2300000.0,7000.0,62.0,61.0,65.0,64.0
Karrikaburu,19.0,67.0,2400000.0,7000.0,71.0,67.0,50.0,26.0
F. Zabala,23.0,67.0,1500000.0,2000.0,73.0,32.0,57.0,62.0
S. JuriÄ‡,25.0,67.0,1300000.0,2000.0,64.0,61.0,57.0,65.0
Serginho,27.0,67.0,1100000.0,5000.0,68.0,65.0,63.0,37.0
M. Diarra,24.0,67.0,1200000.0,2000.0,56.0,32.0,49.0,69.0
G. Mitoglou,22.0,67.0,2100000.0,500.0,60.0,31.0,51.0,65.0
J. Ceka,22.0,67.0,1600000.0,5000.0,78.0,64.0,59.0,28.0
J. Tchatchoua,21.0,67.0,2200000.0,3000.0,88.0,54.0,56.0,58.0
N. Wimmer,27.0,67.0,1100000.0,4000.0,48.0,33.0,45.0,67.0
S. Akaydin,28.0,67.0,1000000.0,7000.0,57.0,35.0,42.0,68.0
B. Shandu,27.0,67.0,1100000.0,500.0,75.0,63.0,68.0,53.0
TomÃ¡s HÃ¤ndel,21.0,67.0,2400000.0,2000.0,71.0,54.0,64.0,63.0
K. Autonne,21.0,67.0,2100000.0,500.0,72.0,28.0,50.0,66.0
T. BaldÃ©,20.0,67.0,2100000.0,4000.0,82.0,46.0,58.0,61.0
Paulo Bernardo,20.0,67.0,2700000.0,3000.0,72.0,63.0,64.0,53.0
T. GemicibaÅŸi,26.0,67.0,1100000.0,4000.0,63.0,59.0,61.0,63.0
M. MakariÄ‡,26.0,67.0,1300000.0,6000.0,69.0,66.0,56.0,23.0
E. Achouri,23.0,67.0,2300000.0,4000.0,79.0,62.0,59.0,28.0
Roberto,20.0,67.0,2300000.0,3000.0,69.0,67.0,58.0,36.0
T. Gardner-Hickman,20.0,67.0,2300000.0,8000.0,75.0,56.0,62.0,62.0
Anderson Cordeiro,23.0,67.0,2300000.0,2000.0,78.0,70.0,59.0,26.0
R. MÃ¡rquez,20.0,67.0,2000000.0,4000.0,76.0,61.0,57.0,31.0
Victor Bobsin,22.0,67.0,2200000.0,2000.0,61.0,51.0,63.0,65.0
S. Mannsverk,20.0,67.0,2300000.0,2000.0,68.0,58.0,64.0,63.0
Park Seung Wook,25.0,67.0,1200000.0,3000.0,74.0,38.0,59.0,63.0
Torrente,20.0,67.0,2100000.0,3000.0,53.0,31.0,51.0,68.0
Å½. GavriÄ‡,21.0,67.0,2300000.0,500.0,75.0,63.0,66.0,52.0
N. Angulo,19.0,67.0,2400000.0,4000.0,81.0,59.0,60.0,34.0
M. GÃ¼mÃ¼ÅŸkaya,21.0,67.0,2300000.0,3000.0,74.0,62.0,67.0,53.0
UreÃ±a,19.0,67.0,2200000.0,5000.0,79.0,61.0,62.0,32.0
Tiago AraÃºjo,21.0,67.0,2300000.0,3000.0,84.0,62.0,62.0,41.0
R. Providence,20.0,67.0,2200000.0,14000.0,83.0,58.0,52.0,27.0
I. Laquintana,23.0,67.0,2000000.0,500.0,87.0,57.0,56.0,32.0
A. MÃ¡x,29.0,67.0,875000.0,500.0,62.0,58.0,60.0,64.0
D. Valda,25.0,67.0,1200000.0,500.0,75.0,49.0,56.0,63.0
A. Kaplan,19.0,67.0,2300000.0,3000.0,63.0,30.0,42.0,67.0
L. Tchaouna,18.0,67.0,2100000.0,6000.0,76.0,60.0,63.0,37.0
Ilias,18.0,67.0,2600000.0,15000.0,72.0,63.0,63.0,21.0
G. Enrique,22.0,67.0,2200000.0,5000.0,70.0,40.0,49.0,67.0
B. Delgado,26.0,67.0,1100000.0,500.0,82.0,65.0,63.0,35.0
SaÃºl Coco,23.0,67.0,2100000.0,3000.0,69.0,33.0,46.0,68.0
O. Piris,33.0,67.0,475000.0,6000.0,54.0,48.0,49.0,67.0
J. Alman,27.0,67.0,1200000.0,500.0,76.0,65.0,61.0,51.0
C. MagallÃ¡n,24.0,67.0,1500000.0,500.0,83.0,64.0,63.0,50.0
J. Bynoe-Gittens,17.0,67.0,2800000.0,2000.0,82.0,58.0,56.0,24.0
D. Robles,30.0,67.0,825000.0,500.0,59.0,35.0,48.0,68.0
TomÃ¡s AraÃºjo,20.0,67.0,2500000.0,3000.0,69.0,29.0,39.0,66.0
V. Bichakhchyan,22.0,67.0,1600000.0,3000.0,70.0,69.0,65.0,55.0
B. Messaoudi,24.0,67.0,1500000.0,5000.0,82.0,70.0,58.0,28.0
GonÃ§alo Borges,21.0,67.0,2500000.0,3000.0,83.0,53.0,60.0,26.0
F. Bassey,23.0,67.0,1600000.0,500.0,75.0,68.0,62.0,21.0
M. Di Benedetto,29.0,67.0,950000.0,5000.0,48.0,35.0,48.0,68.0
L. Mafouta,27.0,67.0,1100000.0,3000.0,77.0,68.0,51.0,29.0
P. GonzÃ¡lez,25.0,67.0,1200000.0,500.0,73.0,64.0,70.0,43.0
M. Alonso,28.0,67.0,1000000.0,500.0,81.0,65.0,60.0,36.0
E. Moreno,20.0,67.0,2300000.0,850.0,70.0,43.0,60.0,63.0
C. TizÃ³n,26.0,67.0,1200000.0,500.0,81.0,58.0,64.0,62.0
L. PÃ¡szka,26.0,67.0,1200000.0,500.0,80.0,40.0,60.0,59.0
A. Fatawu Issahaku,18.0,67.0,2600000.0,2000.0,82.0,68.0,63.0,35.0
N. Ferreira,20.0,67.0,2500000.0,500.0,71.0,64.0,60.0,30.0
B. Bentaberry,25.0,67.0,1300000.0,500.0,76.0,42.0,57.0,63.0
V. GÃ³mez,19.0,67.0,2300000.0,2000.0,68.0,28.0,53.0,68.0
K. Arriaga,24.0,67.0,1400000.0,2000.0,59.0,43.0,57.0,64.0
D. Glaby,26.0,67.0,1200000.0,4000.0,58.0,52.0,65.0,63.0
L. Caicedo,24.0,67.0,1300000.0,500.0,60.0,35.0,50.0,68.0
M. ÃdÃ¡m,27.0,67.0,1200000.0,5000.0,60.0,72.0,47.0,26.0
E. Camargo,20.0,67.0,2400000.0,1000.0,65.0,63.0,66.0,61.0
W. Cheddira,24.0,67.0,1600000.0,2000.0,74.0,67.0,62.0,40.0
F. Baschirotto,25.0,67.0,1200000.0,5000.0,72.0,53.0,60.0,67.0
D. Stavropoulos,25.0,67.0,1300000.0,1000.0,57.0,32.0,49.0,66.0
A. Pergreffi,34.0,67.0,325000.0,1000.0,55.0,39.0,47.0,69.0
LuÃ­s Miquissone,26.0,67.0,1100000.0,5000.0,79.0,62.0,60.0,25.0
D. Coppola,18.0,67.0,2200000.0,2000.0,60.0,40.0,53.0,68.0
G. Durbant,30.0,67.0,1000000.0,3000.0,60.0,66.0,49.0,18.0
Alexsandro Ribeiro,22.0,67.0,2100000.0,8000.0,63.0,30.0,48.0,65.0
Rui Mendes,22.0,67.0,1600000.0,3000.0,77.0,66.0,56.0,29.0
E. Rroca,28.0,67.0,1000000.0,6000.0,64.0,67.0,66.0,50.0
L. DÃ­az,24.0,67.0,1500000.0,500.0,72.0,69.0,68.0,26.0
SÃ©rgio ConceiÃ§Ã£o,25.0,67.0,1200000.0,5000.0,73.0,57.0,63.0,65.0
T. Horvat,23.0,67.0,1500000.0,7000.0,67.0,67.0,69.0,49.0
Diego Moreira,17.0,67.0,2500000.0,950.0,86.0,59.0,57.0,31.0
A. Bettaieb,25.0,67.0,1500000.0,6000.0,74.0,69.0,43.0,22.0
Diogo Abreu,19.0,67.0,2400000.0,3000.0,72.0,54.0,70.0,46.0
Diego Rosa,19.0,67.0,2400000.0,18000.0,69.0,49.0,67.0,59.0
H. Å abanoviÄ‡,22.0,67.0,2200000.0,6000.0,69.0,37.0,49.0,67.0
N. Rossi,20.0,67.0,2500000.0,500.0,76.0,60.0,63.0,37.0
N. Rauti,22.0,67.0,2300000.0,13000.0,66.0,67.0,52.0,25.0
Marquinhos,25.0,67.0,1300000.0,500.0,85.0,57.0,59.0,25.0
G. Kekana,29.0,67.0,850000.0,500.0,67.0,37.0,52.0,67.0
M. Arai,25.0,67.0,1300000.0,4000.0,75.0,61.0,63.0,51.0
Cuca Fernandes,31.0,67.0,725000.0,2000.0,67.0,55.0,65.0,65.0
O. Davida,21.0,67.0,2300000.0,5000.0,79.0,66.0,64.0,27.0
A. Fontanarosa,19.0,67.0,2500000.0,8000.0,75.0,58.0,61.0,67.0
Z. Davitashvili,21.0,67.0,2300000.0,3000.0,75.0,55.0,63.0,25.0
V. Di Cesare,39.0,66.0,150000.0,1000.0,34.0,47.0,32.0,66.0
D. Lewington,38.0,66.0,150000.0,2000.0,32.0,38.0,65.0,66.0
E. Ruud,38.0,66.0,190000.0,1000.0,53.0,64.0,70.0,63.0
R. Stearman,34.0,66.0,275000.0,2000.0,33.0,34.0,46.0,67.0
R. Wood,36.0,66.0,150000.0,4000.0,31.0,35.0,46.0,66.0
C. Jerome,35.0,66.0,375000.0,8000.0,58.0,67.0,51.0,44.0
C. KeÈ™erÃ¼,35.0,66.0,375000.0,2000.0,62.0,68.0,68.0,36.0
K. Lafferty,34.0,66.0,425000.0,3000.0,42.0,68.0,59.0,31.0
K. Lee,34.0,66.0,400000.0,4000.0,50.0,59.0,66.0,63.0
F. Bastians,34.0,66.0,325000.0,2000.0,58.0,55.0,60.0,68.0
R. Perticone,35.0,66.0,230000.0,700.0,46.0,42.0,52.0,64.0
J. Bornstein,37.0,66.0,190000.0,2000.0,51.0,54.0,63.0,68.0
N. Cabrera,39.0,66.0,150000.0,500.0,46.0,40.0,51.0,66.0
L. Jutkiewicz,33.0,66.0,550000.0,11000.0,50.0,63.0,57.0,40.0
R. Jenssen,34.0,66.0,400000.0,2000.0,63.0,59.0,66.0,61.0
H. Ã–zmert,37.0,66.0,275000.0,6000.0,37.0,65.0,71.0,64.0
A. Pearce,33.0,66.0,400000.0,4000.0,33.0,26.0,44.0,66.0
M. Spiranovic,34.0,66.0,275000.0,3000.0,52.0,24.0,51.0,68.0
O. Bozanic,33.0,66.0,525000.0,3000.0,65.0,63.0,67.0,65.0
Deng Zhuoxiang,33.0,66.0,525000.0,6000.0,69.0,48.0,70.0,53.0
Koo Ja Cheol,33.0,66.0,525000.0,3000.0,61.0,65.0,68.0,55.0
Zhang Chengdong,33.0,66.0,400000.0,5000.0,60.0,66.0,65.0,63.0
Yu Hanchao,35.0,66.0,350000.0,3000.0,73.0,61.0,64.0,40.0
J. Henry,33.0,66.0,525000.0,4000.0,63.0,65.0,67.0,57.0
J. van den Bergh,35.0,66.0,275000.0,4000.0,67.0,39.0,59.0,65.0
G. Burke,28.0,66.0,850000.0,1000.0,61.0,67.0,64.0,26.0
A. Jacobsen,32.0,66.0,700000.0,4000.0,69.0,66.0,51.0,29.0
G. FranÃ§ois,32.0,66.0,600000.0,5000.0,65.0,57.0,62.0,64.0
F. Ojo,30.0,66.0,725000.0,3000.0,67.0,60.0,65.0,61.0
Go Yo Han,34.0,66.0,400000.0,3000.0,76.0,59.0,64.0,62.0
G. Madine,31.0,66.0,725000.0,5000.0,47.0,67.0,53.0,32.0
Shin Kwang Hoon,35.0,66.0,240000.0,2000.0,69.0,50.0,62.0,63.0
A. Auassar,35.0,66.0,230000.0,2000.0,31.0,62.0,62.0,64.0
Vasco Fernandes,35.0,66.0,230000.0,1000.0,59.0,40.0,56.0,65.0
C. Evans,33.0,66.0,550000.0,11000.0,51.0,67.0,57.0,40.0
J. Magennis,31.0,66.0,725000.0,4000.0,56.0,65.0,57.0,50.0
E. Bennett,33.0,66.0,450000.0,3000.0,64.0,59.0,63.0,61.0
Gu Cao,36.0,66.0,150000.0,2000.0,70.0,40.0,46.0,66.0
M. Marconi,33.0,66.0,550000.0,1000.0,67.0,65.0,48.0,35.0
A. Bouhaddouz,35.0,66.0,375000.0,2000.0,59.0,66.0,55.0,23.0
A. Meijers,34.0,66.0,325000.0,3000.0,63.0,55.0,64.0,64.0
C. Klem,31.0,66.0,625000.0,3000.0,75.0,45.0,62.0,61.0
M. Facchinetti,31.0,66.0,625000.0,3000.0,69.0,54.0,57.0,62.0
T. Torun,32.0,66.0,675000.0,5000.0,67.0,62.0,66.0,43.0
R. JÃ¶nsson,32.0,66.0,675000.0,1000.0,69.0,63.0,62.0,39.0
D. Gissi,31.0,66.0,575000.0,4000.0,34.0,46.0,58.0,64.0
D. SorgiÄ‡,32.0,66.0,700000.0,5000.0,55.0,68.0,61.0,40.0
Z. TourÃ©,32.0,66.0,550000.0,2000.0,53.0,29.0,47.0,63.0
J. Brayford,34.0,66.0,275000.0,2000.0,51.0,45.0,60.0,65.0
M. Terrazzino,31.0,66.0,700000.0,3000.0,61.0,59.0,66.0,34.0
M. Frantz,35.0,66.0,350000.0,2000.0,53.0,60.0,67.0,62.0
E. Hussain,29.0,66.0,725000.0,2000.0,55.0,62.0,65.0,59.0
H. Dean,30.0,66.0,700000.0,9000.0,53.0,33.0,44.0,65.0
C. Wickham,29.0,66.0,850000.0,4000.0,39.0,67.0,61.0,30.0
R. LundstrÃ¶m,32.0,66.0,600000.0,1000.0,85.0,53.0,60.0,59.0
T. Sana,32.0,66.0,675000.0,3000.0,73.0,63.0,62.0,32.0
Zhang Chi,34.0,66.0,325000.0,6000.0,68.0,54.0,60.0,64.0
E. Friberg,36.0,66.0,275000.0,2000.0,38.0,57.0,70.0,58.0
T. Doumbia,32.0,66.0,575000.0,1000.0,63.0,58.0,62.0,64.0
D. Mayor,31.0,66.0,700000.0,4000.0,63.0,63.0,66.0,49.0
R. Janga,30.0,66.0,850000.0,6000.0,70.0,64.0,40.0,27.0
B. Jeannot,30.0,66.0,850000.0,3000.0,58.0,67.0,57.0,29.0
M. Pink,31.0,66.0,725000.0,4000.0,50.0,67.0,54.0,27.0
P. SchÃ¼rpf,32.0,66.0,675000.0,5000.0,66.0,68.0,64.0,61.0
D. Blacha,31.0,66.0,700000.0,1000.0,59.0,58.0,67.0,59.0
J. Hunt,31.0,66.0,625000.0,4000.0,68.0,41.0,59.0,61.0
M. Chrapek,30.0,66.0,825000.0,3000.0,55.0,60.0,65.0,63.0
M. Jacobs,30.0,66.0,825000.0,4000.0,67.0,63.0,66.0,48.0
A. UludaÄŸ,31.0,66.0,625000.0,4000.0,71.0,61.0,61.0,63.0
J. Ahlmann,31.0,66.0,625000.0,4000.0,63.0,48.0,62.0,63.0
T. Flanagan,30.0,66.0,700000.0,3000.0,43.0,34.0,52.0,65.0
D. Davis,31.0,66.0,600000.0,3000.0,66.0,60.0,62.0,62.0
J. Stockley,28.0,66.0,875000.0,5000.0,55.0,65.0,45.0,34.0
L. Vilsvik,33.0,66.0,450000.0,2000.0,67.0,59.0,63.0,62.0
Ivo Pinto,32.0,66.0,600000.0,4000.0,75.0,46.0,59.0,62.0
M. Cestor,30.0,66.0,700000.0,2000.0,77.0,25.0,46.0,64.0
T. Eaves,30.0,66.0,850000.0,6000.0,53.0,66.0,47.0,37.0
A. Abdennour,32.0,66.0,550000.0,2000.0,49.0,53.0,56.0,66.0
S. Beitashour,35.0,66.0,275000.0,2000.0,64.0,51.0,66.0,63.0
J. Ramis,32.0,66.0,700000.0,500.0,74.0,62.0,55.0,35.0
L. Palmer,30.0,66.0,700000.0,4000.0,76.0,58.0,63.0,64.0
X. Kouassi,32.0,66.0,550000.0,2000.0,60.0,51.0,61.0,65.0
B. Paulsen,30.0,66.0,700000.0,4000.0,50.0,58.0,54.0,65.0
J. Shaughnessy,29.0,66.0,725000.0,2000.0,68.0,26.0,48.0,66.0
S. Pettinari,30.0,66.0,850000.0,2000.0,76.0,64.0,55.0,27.0
F. Jensen,29.0,66.0,725000.0,2000.0,51.0,50.0,62.0,63.0
R. Magyar,31.0,66.0,575000.0,2000.0,46.0,38.0,52.0,65.0
A. Halliday,30.0,66.0,725000.0,2000.0,67.0,60.0,61.0,62.0
A. Gorgon,33.0,66.0,525000.0,3000.0,70.0,66.0,66.0,52.0
M. Gollner,31.0,66.0,575000.0,3000.0,51.0,23.0,42.0,67.0
J. Aguilar,33.0,66.0,425000.0,500.0,59.0,46.0,55.0,62.0
K. Drygas,30.0,66.0,825000.0,3000.0,59.0,64.0,66.0,65.0
J. Kappelhof,31.0,66.0,575000.0,2000.0,61.0,38.0,57.0,66.0
MartÃ­ Riverola,31.0,66.0,700000.0,3000.0,71.0,59.0,63.0,33.0
M. Silva,33.0,66.0,400000.0,2000.0,32.0,38.0,52.0,63.0
B. Bodin,30.0,66.0,825000.0,4000.0,73.0,64.0,63.0,47.0
Lee Yong,35.0,66.0,275000.0,2000.0,68.0,52.0,63.0,63.0
J. Hammar,28.0,66.0,850000.0,2000.0,34.0,38.0,46.0,66.0
C. Robertson,28.0,66.0,800000.0,4000.0,57.0,30.0,51.0,66.0
M. RÄƒduÈ›,32.0,66.0,675000.0,4000.0,69.0,62.0,64.0,52.0
D. Thomalla,29.0,66.0,850000.0,8000.0,69.0,65.0,62.0,36.0
B. Kopacz,30.0,66.0,725000.0,3000.0,65.0,37.0,52.0,65.0
Alex PÃ©rez,30.0,66.0,700000.0,3000.0,36.0,32.0,46.0,67.0
G. Moncur,28.0,66.0,850000.0,5000.0,65.0,63.0,66.0,47.0
S. Zellner,31.0,66.0,575000.0,2000.0,85.0,50.0,59.0,64.0
C. Winchester,29.0,66.0,750000.0,5000.0,73.0,61.0,64.0,59.0
A. SÃ¸derlund,34.0,66.0,425000.0,2000.0,53.0,67.0,56.0,39.0
R. Lopes,30.0,66.0,700000.0,1000.0,50.0,29.0,46.0,66.0
S. McLaughlin,32.0,66.0,600000.0,6000.0,75.0,61.0,62.0,59.0
Z. Valentin,30.0,66.0,725000.0,2000.0,67.0,45.0,60.0,64.0
W. Bruin,32.0,66.0,700000.0,3000.0,52.0,65.0,56.0,36.0
J. Cousins,28.0,66.0,750000.0,4000.0,69.0,49.0,58.0,61.0
R. Riski,32.0,66.0,675000.0,500.0,76.0,63.0,61.0,45.0
D. Petratos,29.0,66.0,850000.0,1000.0,68.0,65.0,65.0,47.0
H. Jimenez,33.0,66.0,450000.0,2000.0,66.0,60.0,64.0,64.0
B. Wood,29.0,66.0,850000.0,3000.0,75.0,67.0,57.0,27.0
C. Wernitznig,32.0,66.0,675000.0,4000.0,67.0,67.0,65.0,59.0
Isma,31.0,66.0,725000.0,3000.0,70.0,63.0,59.0,27.0
D. Horgan,29.0,66.0,850000.0,3000.0,82.0,59.0,64.0,33.0
Go Moo Yol,31.0,66.0,725000.0,3000.0,71.0,65.0,58.0,31.0
C. RÃ¢pÄƒ,32.0,66.0,600000.0,3000.0,73.0,49.0,58.0,60.0
C. Forrester,29.0,66.0,825000.0,1000.0,66.0,62.0,65.0,60.0
R. Riski,30.0,66.0,850000.0,500.0,82.0,66.0,53.0,41.0
Yun Il Lok,30.0,66.0,825000.0,4000.0,76.0,59.0,61.0,46.0
J. Vela,28.0,66.0,850000.0,4000.0,62.0,59.0,64.0,62.0
B. Halloran,30.0,66.0,825000.0,2000.0,82.0,60.0,60.0,38.0
S. Hoskins,29.0,66.0,850000.0,6000.0,86.0,60.0,58.0,48.0
D. Potts,28.0,66.0,725000.0,10000.0,67.0,38.0,58.0,66.0
K. LÃ¸kberg,30.0,66.0,825000.0,2000.0,66.0,62.0,62.0,62.0
R. Pietrzak,30.0,66.0,725000.0,3000.0,68.0,57.0,60.0,62.0
A. Corsi,33.0,66.0,525000.0,1000.0,67.0,59.0,65.0,64.0
V. Viola,30.0,66.0,850000.0,4000.0,68.0,65.0,63.0,34.0
N. Devlin,28.0,66.0,775000.0,2000.0,83.0,50.0,55.0,60.0
D. Schmidt,30.0,66.0,725000.0,3000.0,58.0,50.0,58.0,66.0
I. Latovlevici,36.0,66.0,190000.0,2000.0,64.0,63.0,66.0,66.0
J. Meza,36.0,66.0,275000.0,500.0,78.0,66.0,62.0,55.0
P. Steinhart,29.0,66.0,750000.0,1000.0,73.0,55.0,65.0,59.0
C. McHugh,29.0,66.0,725000.0,1000.0,53.0,47.0,59.0,64.0
G. Mackay-Steven,31.0,66.0,700000.0,3000.0,82.0,61.0,60.0,36.0
S. Fraser,27.0,66.0,975000.0,4000.0,69.0,62.0,64.0,55.0
R. Bouhenna,31.0,66.0,575000.0,5000.0,53.0,44.0,56.0,64.0
G. Espinoza,32.0,66.0,675000.0,2000.0,41.0,61.0,66.0,59.0
C. Thompson,28.0,66.0,850000.0,3000.0,74.0,59.0,62.0,65.0
K. Luckassen,28.0,66.0,875000.0,4000.0,72.0,66.0,44.0,30.0
I. Vetokele,30.0,66.0,850000.0,4000.0,87.0,64.0,57.0,34.0
C. McGeehan,27.0,66.0,975000.0,4000.0,65.0,63.0,63.0,61.0
R. Buess,29.0,66.0,850000.0,3000.0,76.0,67.0,63.0,42.0
Ko Kwang Min,33.0,66.0,450000.0,2000.0,77.0,58.0,61.0,59.0
Kim Hyun,29.0,66.0,850000.0,3000.0,61.0,64.0,51.0,27.0
SatrÃºstegui,31.0,66.0,575000.0,3000.0,72.0,46.0,58.0,65.0
P. Digby,27.0,66.0,800000.0,3000.0,47.0,52.0,61.0,63.0
Pablo IÃ±iguez,28.0,66.0,850000.0,2000.0,40.0,43.0,56.0,67.0
J. Holt,29.0,66.0,725000.0,2000.0,75.0,59.0,61.0,61.0
Shim Dong Woon,32.0,66.0,675000.0,2000.0,86.0,59.0,60.0,42.0
S. Ben Youssef,33.0,66.0,400000.0,2000.0,45.0,43.0,50.0,67.0
J. Gyau,29.0,66.0,750000.0,1000.0,91.0,57.0,56.0,57.0
M. Mak,30.0,66.0,825000.0,1000.0,83.0,64.0,61.0,44.0
S. Sandberg,28.0,66.0,775000.0,2000.0,70.0,43.0,59.0,62.0
E. Jordanov,29.0,66.0,750000.0,4000.0,72.0,53.0,61.0,61.0
L. GÃ¼len,28.0,66.0,850000.0,2000.0,78.0,30.0,49.0,65.0
J. Guthrie,29.0,66.0,725000.0,6000.0,49.0,31.0,50.0,65.0
D. Henen,26.0,66.0,1000000.0,5000.0,78.0,66.0,58.0,26.0
F. Al Muwallad,27.0,66.0,900000.0,10000.0,88.0,63.0,60.0,44.0
S. Nachreiner,33.0,66.0,400000.0,4000.0,44.0,23.0,40.0,68.0
D. Butler,27.0,66.0,825000.0,4000.0,73.0,44.0,57.0,61.0
P. Vlachodimos,30.0,66.0,825000.0,3000.0,75.0,59.0,61.0,34.0
B. Turgott,28.0,66.0,875000.0,3000.0,80.0,66.0,57.0,25.0
D. Anderson,27.0,66.0,825000.0,4000.0,78.0,38.0,58.0,60.0
D. Simani,30.0,66.0,700000.0,5000.0,51.0,55.0,51.0,64.0
T. MeiÃŸner,31.0,66.0,575000.0,4000.0,61.0,38.0,44.0,66.0
S. Nieuwpoort,29.0,66.0,725000.0,2000.0,66.0,33.0,53.0,66.0
Buatu,28.0,66.0,850000.0,2000.0,58.0,41.0,51.0,65.0
P. Weihrauch,28.0,66.0,850000.0,3000.0,72.0,59.0,64.0,54.0
W. Bakhashwain,32.0,66.0,575000.0,7000.0,60.0,44.0,58.0,64.0
J. Rafferty,28.0,66.0,775000.0,4000.0,66.0,38.0,59.0,64.0
M. Duffy,27.0,66.0,900000.0,1000.0,81.0,60.0,61.0,44.0
D. Linsmayer,30.0,66.0,725000.0,3000.0,48.0,50.0,61.0,63.0
H. Zuck,31.0,66.0,625000.0,4000.0,74.0,51.0,64.0,58.0
M. Steinmann,27.0,66.0,900000.0,2000.0,48.0,56.0,62.0,64.0
F. Holst,27.0,66.0,900000.0,2000.0,81.0,55.0,65.0,62.0
H. Kadish,29.0,66.0,750000.0,7000.0,72.0,41.0,59.0,62.0
D. Ubbink,29.0,66.0,850000.0,3000.0,68.0,61.0,66.0,42.0
E. GarcÃ­a,32.0,66.0,550000.0,500.0,53.0,41.0,38.0,67.0
J. Ironside,28.0,66.0,875000.0,3000.0,71.0,65.0,51.0,41.0
D. John,27.0,66.0,900000.0,4000.0,87.0,54.0,60.0,59.0
S. Ramizi,30.0,66.0,825000.0,3000.0,71.0,60.0,61.0,48.0
RubÃ©n MartÃ­nez,32.0,66.0,675000.0,3000.0,74.0,56.0,63.0,29.0
J. RadoÅ¡eviÄ‡,28.0,66.0,825000.0,5000.0,51.0,58.0,60.0,64.0
P. McGinn,31.0,66.0,575000.0,2000.0,69.0,53.0,58.0,65.0
K. Schulz,32.0,66.0,600000.0,3000.0,78.0,56.0,61.0,62.0
Kwon Chang Hoon,28.0,66.0,850000.0,2000.0,66.0,64.0,65.0,49.0
M. Heylen,28.0,66.0,800000.0,3000.0,39.0,37.0,55.0,65.0
M. MaloÄa,33.0,66.0,400000.0,3000.0,61.0,36.0,41.0,65.0
S. RincÃ³n,28.0,66.0,850000.0,4000.0,75.0,65.0,58.0,57.0
R. Å½ivkoviÄ‡,25.0,66.0,1000000.0,3000.0,81.0,65.0,55.0,18.0
F. Lohkemper,27.0,66.0,1000000.0,5000.0,75.0,65.0,56.0,30.0
R. RamÃ­rez,32.0,66.0,700000.0,500.0,69.0,68.0,61.0,37.0
J. Sheehan,27.0,66.0,900000.0,4000.0,79.0,55.0,61.0,61.0
R. Klingenburg,28.0,66.0,825000.0,4000.0,50.0,62.0,61.0,59.0
J. Obiang,28.0,66.0,775000.0,2000.0,83.0,52.0,59.0,60.0
S. Kaikai,26.0,66.0,925000.0,4000.0,80.0,62.0,62.0,48.0
A. Aseri,28.0,66.0,850000.0,11000.0,78.0,61.0,60.0,28.0
L. Evans,27.0,66.0,900000.0,5000.0,49.0,61.0,66.0,62.0
S. Lex,32.0,66.0,700000.0,1000.0,81.0,64.0,59.0,29.0
C. Pain,28.0,66.0,850000.0,1000.0,85.0,60.0,60.0,59.0
P. Stolarski,26.0,66.0,1000000.0,3000.0,83.0,52.0,61.0,58.0
J. Cornejo,32.0,66.0,550000.0,2000.0,74.0,57.0,63.0,65.0
M. Bonne,26.0,66.0,1100000.0,11000.0,72.0,64.0,51.0,35.0
S. Goss,26.0,66.0,1100000.0,2000.0,65.0,58.0,67.0,58.0
